onset	duration	trial_type	rewards
1453.349179	0	options_social	 -15
1457.004179	0	decision_safe_social	 -15
1463.056746	0	outcome_safe_social	 -15
1471.629709	0	options_social	 n/a
1475.652709	0	decision_risky_social	   6
1485.707198	0	outcome_other_neg_social	   0
1488.24238	0	happiness_rating	  36
1499.9513	0	options_solo	 -25
1504.8203	0	decision_safe_solo	 -25
1510.87643	0	outcome_safe_solo	 -25
1523.452588	0	options_social	  10
1530.307588	0	decision_safe_social	  10
1539.364813	0	outcome_safe_social	  10
1541.89997	0	happiness_rating	  36
